Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgzCimkCJH0Hhgg2XEl4AaABAg,@noodlemacncheese2125,But people can like games just as much as Winnie piggy likes gaynite,2025-10-30T12:50:51Z,0,0
Ugz__-YQf9FR_o1GlsJ4AaABAg,@foxtrot570,"Little does Tyler know that quote from Card Against Humanity is universal: Loving you is easy, cause you're a ch1ld and I'm a -Minecraft- Fortnite YouTuber 😂",2025-10-02T16:02:49Z,0,0
Ugx6gwowqGwWC6z0Y0x4AaABAg,@DariusRoman-p6x,"Brian: Minecraft to me is Fortnite to you Tyler, okay. 😌😌😌😌

Tyler: *I promise you it’s not even close.* 💀💀💀💀",2025-09-29T05:42:17Z,0,0
UgxLB3bvcbo-EqF5ZYt4AaABAg,@MarshallDArk,Wildcat's rich laugh comparing to Vanoss's exhale and inhaling laugh,2025-09-28T00:16:56Z,0,0
UgxMaEq_lLOlByjZIrR4AaABAg,@eddieelder8779,Did Wildcat get rich off of fort night?,2025-09-26T21:56:13Z,0,2
UgzGJ5edHXtShsyM9Cd4AaABAg,@LennyTenkaichi,He spent so much on fortnut 😂,2025-09-20T09:03:20Z,0,0
UgxUohOlDoLpMVfv_st4AaABAg,@thunderpants3500,Minecraft OG music is relaxing AF though!,2025-09-20T07:23:31Z,0,0
Ugxd5d_LkCAAqeSWTzh4AaABAg,@shadowthehedgehog4737,"""Sneering Imperialist perk activated.""",2025-09-19T09:53:50Z,0,0
UgyIW6DrpyUrGX4_TTR4AaABAg,@passerby6062,Tyler sold his soul to Fortnite but never sold his community or friend’s.,2025-09-18T18:18:12Z,0,0
UgzSV_kNj9erckT-5DR4AaABAg,@AmericanPasta1776,9th recorded vanoss short,2025-09-17T22:48:00Z,0,0
Ugwg-WzlG3GlHbHCzd54AaABAg,@adrianfixel8222,"If BBS is based on DC comics, Wildcat is either Lex Luthor or Bruce Wayne",2025-09-17T18:57:57Z,0,0
UgyTJnvPOGZFy8zVNGB4AaABAg,@insanicmironic,Brian got roasted HARD 😂😂😂😂,2025-09-17T15:25:07Z,4,0
